customer_id,first_name,last_name,email,city,state,country,join_date,is_loyal_customer
1,Peter,Davis,pdavis@example.com,Michaeltown,Minnesota,Equatorial Guinea,2024-03-12,False
2,Holly,Mitchell,holly_mitchell@frost-roberts.com,Josephview,New Mexico,Sao Tome and Principe,2024-10-05,True
3,Catherine,Gill,catherine54@hotmail.com,West Susan,Maine,Andorra,2020-12-22,True
4,Michael,Hayes,michael_hayes@murray-edwards.biz,Candaceland,Illinois,Paraguay,2023-02-01,False
5,Troy,Parker,troy.parker@gmail.com,Samuelshire,Connecticut,Mauritania,2023-10-15,False
6,Mark,Ortiz,mark_ortiz@jackson.com,West Dawnfort,Kentucky,United Kingdom,2024-01-27,True
7,Manuel,Walton,manuel.walton@hotmail.com,Kristenton,Mississippi,Guernsey,2022-10-20,False
8,Randy,Romero,randy_romero@grant.com,Port Maria,Connecticut,Bahrain,2023-03-16,False
9,Jessica,Bishop,jessica_bishop@owens.org,Marystad,Maryland,Belize,2022-10-12,False
10,Jesse,Lopez,jlopez@example.net,East Michaelside,Colorado,Uganda,2021-12-22,True
11,Melissa,Patterson,melissa70@yahoo.com,Kimfurt,Delaware,Turkmenistan,2022-04-05,False
12,Amy,Jenkins,ajenkins@example.net,Billyfort,Georgia,Lao People's Democratic Republic,2020-12-07,True
13,Thomas,Howell,thomas_howell@smith.com,North Robert,Washington,Latvia,2023-12-15,True
14,Victor,Foster,vfoster@example.com,North Meganburgh,North Carolina,Uruguay,2024-10-12,True
15,Audrey,Peters,audrey24@hotmail.com,Port Michaelberg,Louisiana,Belgium,2021-11-03,True
16,Rachel,Wilson,rachel.wilson@hotmail.com,Michelleburgh,Texas,Cambodia,2022-01-22,True
17,Jerry,Finley,jerry_finley@paul.biz,Butlerbury,Wyoming,Kuwait,2024-06-25,False
18,Mitchell,Herrera,mitchell82@yahoo.com,Matthewsmouth,Missouri,Maldives,2022-11-25,False
19,Jennifer,Alexander,jalexander@example.org,North Michele,West Virginia,Zimbabwe,2024-12-27,True
20,Linda,Wilson,lwilson@example.org,Figueroamouth,Kentucky,Seychelles,2023-01-17,False
21,Jennifer,Curtis,jcurtis@example.org,Jimenezchester,Oklahoma,Burundi,2024-03-17,False
22,Christian,Hall,christian91@gmail.com,Lake Shelley,Montana,Saint Lucia,2023-12-04,False
23,Daniel,Medina,daniel.medina@hotmail.com,Emilyhaven,Massachusetts,Bahamas,2024-02-12,True
24,Linda,Brooks,linda.brooks@hotmail.com,Emilyberg,North Carolina,Montenegro,2020-08-31,False
25,Bradley,Francis,bradley_francis@williamson.info,East Royton,New York,Oman,2024-04-21,True
26,Melissa,Roberts,melissa_roberts@fleming.com,West Albertton,New Jersey,Finland,2020-10-24,False
27,Helen,Oliver,helen.oliver@gmail.com,New Katherine,Montana,Egypt,2021-03-10,False
28,Tina,Huffman,tina.huffman@yahoo.com,South Amyfurt,Alabama,Serbia,2020-09-12,False
29,Aaron,Bullock,abullock@example.org,New Zachary,Alaska,Guinea-Bissau,2024-02-03,True
30,Kathleen,Luna,kathleen.luna@hotmail.com,Port Virginia,Tennessee,Mozambique,2024-09-03,False
31,Jason,Johnson,jjohnson@example.com,Adamstown,Ohio,Northern Mariana Islands,2020-12-15,True
32,Cynthia,Martinez,cynthia.martinez@gmail.com,Lake Lauramouth,Idaho,Micronesia,2021-09-08,False
33,Jamie,Sharp,jamie.sharp@hotmail.com,South Lucasland,Texas,Venezuela,2021-03-28,False
34,Kristin,Ford,kristin26@yahoo.com,Port Briana,North Dakota,Suriname,2022-06-18,False
35,Alicia,Bailey,alicia.bailey@yahoo.com,Ortizport,Colorado,Palestinian Territory,2021-06-30,True
36,Rhonda,Garza,rgarza@example.net,Denisemouth,Florida,Maldives,2022-03-30,False
37,Laura,Rivera,laura.rivera@gmail.com,Martinburgh,Rhode Island,Zimbabwe,2024-05-08,False
38,Derek,Blankenship,derek_blankenship@williams.org,Port Ronniemouth,Hawaii,Gambia,2021-05-29,True
39,Joy,Gonzales,joy.gonzales@hotmail.com,Lake Stephen,Washington,Slovakia (Slovak Republic),2024-06-21,True
40,Judy,Carney,jcarney@example.org,New Angela,Utah,Slovenia,2023-12-07,False
41,Paul,Dunlap,paul_dunlap@lowe-stevenson.net,West Brendamouth,Alaska,Japan,2022-09-21,True
42,Ashley,Crawford,ashley56@gmail.com,Parsonsville,Louisiana,Brazil,2021-07-14,True
43,Ronald,Smith,ronald47@hotmail.com,Angelaport,New Jersey,United States of America,2022-10-07,False
44,Joseph,Delacruz,joseph.delacruz@yahoo.com,Port Allison,Massachusetts,Senegal,2024-03-19,False
45,Timothy,Smith,timothy.smith@gmail.com,Lake Deanmouth,Kansas,Hungary,2024-02-26,True
46,Thomas,Santiago,thomas_santiago@miller.com,Cynthiaport,Delaware,Wallis and Futuna,2022-01-06,True
47,Cindy,Baker,cindy56@gmail.com,Lake Hannahfort,Wisconsin,India,2024-09-16,False
48,Kurt,Hopkins,kurt.hopkins@hotmail.com,Port Jamestown,New Mexico,Bangladesh,2021-06-20,False
49,Todd,Pope,todd66@hotmail.com,Aprilside,Massachusetts,Bermuda,2024-08-08,False
50,Lisa,Gibbs,lgibbs@example.net,Underwoodmouth,Minnesota,Anguilla,2022-10-01,True
51,Henry,Padilla,henry.padilla@gmail.com,Christophermouth,Delaware,United Arab Emirates,2022-10-16,True
52,Andrea,Mendoza,andrea.mendoza@yahoo.com,Saundersfurt,Ohio,Guam,2024-04-16,False
53,Kayla,Clements,kayla.clements@yahoo.com,Penaport,Wisconsin,Greenland,2021-03-09,False
54,Michelle,Palmer,michelle38@gmail.com,Jeremyfurt,Montana,Northern Mariana Islands,2024-03-06,True
55,Frederick,Newton,fnewton@example.net,Lake Bradbury,West Virginia,Mali,2023-09-19,True
56,Anthony,Wilson,anthony_wilson@douglas.com,East Alexandramouth,Kansas,Aruba,2021-03-19,False
57,Benjamin,Williams,benjamin_williams@hernandez-payne.com,Matthewchester,Mississippi,Vietnam,2024-01-04,True
58,Angela,Atkins,aatkins@example.com,West Thomasshire,North Carolina,Czech Republic,2021-04-09,False
59,Dawn,Garcia,dawn.garcia@gmail.com,Angelaberg,Connecticut,Saint Pierre and Miquelon,2021-09-22,False
60,Kathryn,Olson,kathryn62@yahoo.com,Lake Daniel,Rhode Island,South Africa,2024-03-28,False
61,Rebekah,Garcia,rgarcia@example.com,South Wandaside,California,South Georgia and the South Sandwich Islands,2021-08-21,False
62,Stephen,Mcintyre,stephen_mcintyre@kim-parsons.net,Samuelfurt,Illinois,Korea,2023-06-03,False
63,Michael,Horton,michael40@gmail.com,New Morgan,South Carolina,Mauritania,2024-03-24,False
64,Robert,Vargas,robert.vargas@hotmail.com,Sandrachester,Washington,Gibraltar,2020-09-19,True
65,Billy,Smith,bsmith@example.org,South Melissafort,California,Uruguay,2023-07-08,False
66,Michelle,Larson,mlarson@example.net,Wardside,Kentucky,Czech Republic,2024-06-28,True
67,Erik,Maxwell,erik_maxwell@wright-brooks.org,Samanthamouth,Vermont,Romania,2022-10-10,True
68,Kelly,Bailey,kbailey@example.com,Port Evelyn,Wisconsin,Syrian Arab Republic,2021-07-17,True
69,Dawn,Holden,dawn53@hotmail.com,Evanville,Virginia,United States Minor Outlying Islands,2020-09-27,False
70,Drew,Garcia,drew29@hotmail.com,Port Natasha,Oklahoma,Indonesia,2022-12-29,False
71,Kimberly,Osborne,kosborne@example.org,New Jennifermouth,Michigan,Tuvalu,2024-03-24,True
72,Shawn,Jordan,shawn_jordan@perez-hernandez.biz,Laurachester,Maine,Iraq,2022-11-08,False
73,Amber,Anderson,amber41@hotmail.com,Leblancfurt,Ohio,Christmas Island,2022-09-17,True
74,Laura,Jackson,ljackson@example.net,Ryanchester,Arizona,French Guiana,2021-08-07,True
75,Tracy,Jacobs,tracy_jacobs@fletcher-bruce.com,Ortegaport,Pennsylvania,Panama,2025-01-04,True
76,Jesse,Carroll,jesse_carroll@griffin-oliver.com,Rosalesbury,North Carolina,Grenada,2024-12-22,True
77,Randy,Delacruz,randy_delacruz@lopez-johnson.com,Lake Devintown,Connecticut,Thailand,2021-06-30,True
78,Randy,Padilla,randy.padilla@yahoo.com,North Lindsay,Virginia,Uganda,2021-09-26,True
79,Erika,Henson,ehenson@example.org,Michaelchester,Kentucky,Sudan,2022-07-04,True
80,Susan,Olson,solson@example.org,East Carolyn,Georgia,Spain,2023-03-09,False
81,Stephen,Harrington,stephen_harrington@miller.org,Muellermouth,Rhode Island,Israel,2020-10-26,False
82,Beverly,Glenn,bglenn@example.org,Lopezport,Tennessee,Tuvalu,2021-11-01,True
83,Cheryl,Rodriguez,crodriguez@example.com,South Natalieside,West Virginia,Ukraine,2020-09-27,True
84,George,Melton,gmelton@example.net,Kelleyport,Kentucky,Sri Lanka,2023-12-05,True
85,Tiffany,Jensen,tiffany_jensen@harmon-goodwin.com,New Melissatown,Indiana,Australia,2024-08-01,False
86,William,Johnston,william84@gmail.com,Woodfurt,Washington,Saint Kitts and Nevis,2024-04-24,True
87,Donna,Terrell,dterrell@example.com,Lake Christopherport,New Hampshire,Falkland Islands (Malvinas),2022-06-20,False
88,Andrew,Anderson,aanderson@example.com,Weaverbury,North Dakota,Kyrgyz Republic,2022-10-01,False
89,Pamela,Perry,pamela90@yahoo.com,Hillmouth,Minnesota,Croatia,2022-12-16,True
90,Amy,Patterson,amy.patterson@hotmail.com,Reynoldschester,Alabama,United States Minor Outlying Islands,2023-05-10,False
91,Robert,Campbell,robert_campbell@harrison-rojas.biz,Simstown,Connecticut,Croatia,2021-06-13,True
92,Mary,Ryan,mary58@gmail.com,East Deanna,Oregon,New Zealand,2021-12-06,False
93,Barbara,Sims,barbara.sims@yahoo.com,Juanchester,Hawaii,Tonga,2022-03-15,False
94,Aaron,Bond,aaron_bond@garcia-mayo.net,Leslieton,Washington,Belgium,2022-01-20,True
95,Kristin,Garcia,kristin51@yahoo.com,East Amytown,Virginia,Turks and Caicos Islands,2021-08-07,False
96,Brenda,Holmes,bholmes@example.org,New Luis,Pennsylvania,Jersey,2021-07-12,False
97,Tracy,Robles,tracy64@hotmail.com,Nancytown,Wyoming,Pitcairn Islands,2021-01-17,True
98,Tracy,Martin,tracy21@yahoo.com,West Eric,Arizona,Saint Helena,2020-09-11,True
99,Gilbert,Fisher,gilbert.fisher@yahoo.com,North Julie,Pennsylvania,Niue,2021-02-03,True
100,Tricia,Williams,tricia.williams@yahoo.com,North Derrick,Minnesota,Swaziland,2023-09-26,True
101,Kenneth,Brown,kenneth_brown@parks.com,Sanchezville,Rhode Island,Guatemala,2021-09-23,True
102,Karen,George,karen10@hotmail.com,Jacksonburgh,Pennsylvania,Denmark,2022-12-10,False
103,Michael,Glover,michael.glover@yahoo.com,North Williamchester,Connecticut,Barbados,2022-01-15,False
104,Michael,Yang,michael.yang@yahoo.com,North Colinmouth,New York,Ghana,2022-04-16,True
105,Christina,Diaz,christina.diaz@gmail.com,North Erin,Rhode Island,Netherlands,2021-11-07,True
106,Alan,Ramirez,aramirez@example.com,South Zacharyfurt,Arizona,Denmark,2023-03-27,False
107,Karen,Martinez,kmartinez@example.org,Fosterport,Georgia,South Africa,2023-03-09,False
108,Rhonda,Bell,rhonda86@yahoo.com,Katieborough,Mississippi,Kenya,2024-08-17,True
109,Gary,Farley,gary.farley@hotmail.com,Erinberg,Missouri,Qatar,2024-12-31,False
110,Traci,Osborne,traci.osborne@hotmail.com,Lake Jamestown,Alabama,Netherlands Antilles,2023-07-19,False
111,Charles,Harris,charles40@yahoo.com,North Kathryn,South Carolina,Cote d'Ivoire,2022-10-21,True
112,James,Diaz,james49@yahoo.com,New Joshua,Utah,Somalia,2021-01-22,True
113,David,Woods,dwoods@example.org,Gardnerland,Massachusetts,Antigua and Barbuda,2024-04-06,False
114,Courtney,Cervantes,courtney.cervantes@yahoo.com,Port Brandon,Maine,Dominica,2023-10-09,True
115,Larry,Montes,lmontes@example.com,East Lindaville,Delaware,Sweden,2020-10-17,True
116,Angel,Rosales,angel.rosales@gmail.com,Port Shari,Kentucky,Mali,2025-02-14,False
117,Laura,Jones,laura_jones@gallagher.com,Aliborough,Oregon,French Guiana,2022-04-21,True
118,William,Hill,william.hill@hotmail.com,Susanmouth,Florida,Dominican Republic,2024-08-02,True
119,Roy,Green,rgreen@example.net,Ryanport,Pennsylvania,Mongolia,2023-05-27,False
120,Tracy,Schmidt,tracy.schmidt@hotmail.com,North Chloe,Oregon,Puerto Rico,2024-08-09,True
121,Andrea,Cohen,andrea_cohen@burgess-thomas.com,New Thomashaven,New Jersey,Togo,2021-02-13,True
122,Sherry,Smith,sherry.smith@gmail.com,Lake Nathan,Massachusetts,Spain,2023-03-20,False
